fiasfknyvf	f-ifi-a-s-f-k-n-y-v-f
bbgladk	b-b-g-l-a-d-k
ttkqukzgg	t-t-k-q-u-k-z-g-g
zzjsetyzmarxdch	z-z-j-s-e-t-y-z-m-a-r-x-d-c-h
jjyhgpkgetsf	j-j-y-h-g-p-k-g-e-t-s-f
bbucuchfyahd	b-b-u-c-u-c-h-f-y-a-h-d
fffyscijpsh	f-f-f-y-s-c-i-j-p-s-h
kkupshdzvjpscdv	k-k-u-p-s-h-d-z-v-j-p-s-c-d-v
nnttehinvj	n-n-t-t-e-h-i-n-v-j
ssgehlrdge	s-s-g-e-h-l-r-d-g-e
rrztwmvzdh	r-r-z-t-w-m-v-z-d-h
leqmylhhjjbmyu	l-ele-q-m-y-l-h-h-j-j-b-m-y-u
s	s
dbywpzhaodvcu	d-b-y-w-p-z-h-a-o-d-v-c-u
nrkensgzzm	n-r-k-e-n-s-g-z-z-m
kktcdxx	k-k-t-c-d-x-x
yypqrpwnfel	y-y-p-q-r-p-w-n-f-e-l
bbv	b-b-v
mmgerxhp	m-m-g-e-r-x-h-p
gnghtkfeoviyqxy	g-n-g-h-t-k-f-e-o-v-i-y-q-x-y
rrshpkjzucj	r-r-s-h-p-k-j-z-u-c-j
yumhdxrlr	y-uyu-m-h-d-x-r-l-r
uwvq	u-w-v-q
ffwbsuzyo	f-f-w-b-s-u-z-y-o
wwkgo	w-w-k-g-o
abudpxtava	a-b-u-d-p-x-t-a-v-a
ggkythihk	g-g-k-y-t-h-i-h-k
rruqgmoyjghppco	r-r-u-q-g-m-o-y-j-g-h-p-p-c-o
irjewnstqr	i-r-j-e-w-n-s-t-q-r
lopuuyedhfcdqvyi	l-olo-p-u-u-y-e-d-h-f-c-d-q-v-y-i
vvtxwayo	v-v-t-x-w-a-y-o
ggyubufrcaqim	g-g-y-u-b-u-f-r-c-a-q-i-m
wwmdzlxab	w-w-m-d-z-l-x-a-b
hhuxigmhxbty	h-h-u-x-i-g-m-h-x-b-t-y
wgdzobhtnjhsgjs	w-g-d-z-o-b-h-t-n-j-h-s-g-j-s
fojnhveaw	f-ofo-j-n-h-v-e-a-w
kkjkp	k-k-j-k-p
hhvstz	h-h-v-s-t-z
vkxgy	v-k-x-g-y
ttstaxtkilzahdtlk	t-t-s-t-a-x-t-k-i-l-z-a-h-d-t-l-k
nnilbxjj	n-n-i-l-b-x-j-j
llqwiubmpqmj	l-l-q-w-i-u-b-m-p-q-m-j
sivivldec	s-isi-v-i-v-l-d-e-c
qsogowwim	q-s-o-g-o-w-w-i-m
bvcl	b-v-c-l
japgvtyrnnkyr	j-aja-p-g-v-t-y-r-n-n-k-y-r
hhfrztrtijqrqnv	h-h-f-r-z-t-r-t-i-j-q-r-q-n-v
waphccjuuc	w-awa-p-h-c-c-j-u-u-c
bi	b-ibi
ddjnhrcgekoctyp	d-d-j-n-h-r-c-g-e-k-o-c-t-y-p
uw	u-w
ncywebcjbhkwdg	n-c-y-w-e-b-c-j-b-h-k-w-d-g
pphkeahnebb	p-p-h-k-e-a-h-n-e-b-b
vvprb	v-v-p-r-b
ss	s-s
ddjsg	d-d-j-s-g
ffcuzvkfzaz	f-f-c-u-z-v-k-f-z-a-z
wwkfnhud	w-w-k-f-n-h-u-d
rrsaguin	r-r-s-a-g-u-i-n
llahticzmoeyimzx	l-l-a-h-t-i-c-z-m-o-e-y-i-m-z-x
ffsirt	f-f-s-i-r-t
kkgt	k-k-g-t
ss	s-s
weewa	w-ewe-e-w-a
ekdefxxskcc	e-k-d-e-f-x-x-s-k-c-c
kuuopnvs	k-uku-u-o-p-n-v-s
defxbyjdixxspma	d-ede-f-x-b-y-j-d-i-x-x-s-p-m-a
di	d-idi
xqcuqqxqlhizjnk	x-q-c-u-q-q-x-q-l-h-i-z-j-n-k
wwpsohxezdgc	w-w-p-s-o-h-x-e-z-d-g-c
bbgjrfwacybypv	b-b-g-j-r-f-w-a-c-y-b-y-p-v
ddmpkfn	d-d-m-p-k-f-n
pupzamkxjsxnkf	p-upu-p-z-a-m-k-x-j-s-x-n-k-f
zz	z-z
duttw	d-udu-t-t-w
sssjcurhd	s-s-s-j-c-u-r-h-d
pawztytc	p-apa-w-z-t-y-t-c
metfs	m-eme-t-f-s
zzqogayjoqeibqy	z-z-q-o-g-a-y-j-o-q-e-i-b-q-y
gyivwgsi	g-y-i-v-w-g-s-i
dikpkcyie	d-idi-k-p-k-c-y-i-e
nnvtbqzgrqqedzqj	n-n-v-t-b-q-z-g-r-q-q-e-d-z-q-j
wwfyynzvjdatw	w-w-f-y-y-n-z-v-j-d-a-t-w
obymldwtfscalzi	o-b-y-m-l-d-w-t-f-s-c-a-l-z-i
zzqfruukrdnfici	z-z-q-f-r-u-u-k-r-d-n-f-i-c-i
llwcah	l-l-w-c-a-h
ggtgdoazrcimnf	g-g-t-g-d-o-a-z-r-c-i-m-n-f
fyht	f-y-h-t
