j-j-q-j-p-f-l-e-t-n-l-y	jjqjpfletnly
k-eke-j-j-t	kejjt
p-opo-u	pou
d-d-a-l-b-w-e-z-i-a-d-j-q-e	ddalbweziadjqe
h-h-z-g-d-o-m-a-e-a-b-e	hhzgdomaeabe
t-t	tt
h-ehe-n-r-z-w-u-s-j	henrzwusj
w-owo-j-e-r-o-x-y-m	wojeroxym
m-m-g-t-c-p-d-v-w	mmgtcpdvw
q-q-c	qqc
w-w-s-i-k-b-h-t-h-f	wwsikbhthf
g-g-y-v-w-g-j-g-v-i-h-a-k-r-a-l	ggyvwgjgvihakral
w-w-n-p-o-k-e	wwnpoke
p-g-y-x-a-f-x-b-z-n-u-s-h-y	pgyxafxbznushy
l-ele-p-b-h-e-o-o-k-x-w-b-w-p	lepbheookxwbwp
g-g-k	ggk
g-g-n-z-m-v-l-n-i-s-e-t-a	ggnzmvlniseta
f-p-t-h-r-c-d-x-q-p-x	fpthrcdxqpx
q-q-e-d	qqed
c-oco-z-e-t-m-g-f-j-q-f-z-d	cozetmgfjqfzd
b-b-h-k-q-v-y-i-s-w	bbhkqvyisw
q-q-q-m-n-i-a-e-x-g-g-l-n-m-c	qqqmniaexgglnmc
c-c-i-r-l-k-t-t-z	ccirlkttz
x-x-f-c-z	xxfcz
o-g-x-b-u-g	ogxbug
l-l-m	llm
m-b-f	mbf
g-g-u-p-e-f-l-b-h-i	ggupeflbhi
c-c-q-l-x-x-z-w	ccqlxxzw
m-r-u-v-b-n-o-u-c-f-v-e	mruvbnoucfve
b-b-f-u-c-z-n-r-y	bbfucznry
q-q-l-d-g	qqldg
p-p-r-c-u-u-n-t-h-r-o-l-t-l-m	pprcuunthroltlm
k-k	kk
x-x-h	xxh
q-q-n	qqn
b-b-c-z	bbcz
l-k-e-h-a-n-a-r	lkehanar
f-f-z-i-d-h-d-c-m-v-d-s-m-l-l-d-a	ffzidhdcmvdsmllda
k-oko-n-n-c-n	konncn
m-c-v-a-y-l-q	mcvaylq
h-aha-s-f-s-v-d-d-g-q-e-s	hasfsvddgqes
w-ewe-v-k-y-e-x-m-m-t-h-z-m-o-h-g	wevkyexmmthzmohg
r-r-x-a-n-m-y-m-y-w-q-d-i-o	rrxanmymywqdio
v-ivi-u-t-a-f-s-m-f-m	viutafsmfm
r-r	rr
