d	3
gz	6-25
bvy	1-21-24
tmak	19-12-0-10
ldoij	11-3-14-8-9
uvvvpy	20-21-21-21-15-24
wjwaavx	22-9-22-0-0-21-23
ioleokgk	8-14-11-4-14-10-6-10
kpxhotowq	10-15-23-7-14-19-14-22-16
lqjzjgzhxe	11-16-9-25-9-6-25-7-23-4
oqvtczftkxy	14-16-21-19-2-25-5-19-10-23-24
cfxfnltgbxen	2-5-23-5-13-11-19-6-1-23-4-13
fhwjstdbwvkpe	5-7-22-9-18-19-3-1-22-21-10-15-4
vvbceskdivzrnj	21-21-1-2-4-18-10-3-8-21-25-17-13-9
updelnbxemoiaaj	20-15-3-4-11-13-1-23-4-12-14-8-0-0-9
vmeyxntnsqqmnysp	21-12-4-24-23-13-19-13-18-16-16-12-13-24-18-15
xzxlmaidpifdmkhkn	23-25-23-11-12-0-8-3-15-8-5-3-12-10-7-10-13
oyfjymjaukloultrnk	14-24-5-9-24-12-9-0-20-10-11-14-20-11-19-17-13-10
vlxklqyhhuilfnqdcrx	21-11-23-10-11-16-24-7-7-20-8-11-5-13-16-3-2-17-23
wvaazvcbcrltllrtvhjh	22-21-0-0-25-21-2-1-2-17-11-19-11-11-17-19-21-7-9-7
qnwpjzefpkizzpcjsaeet	16-13-22-15-9-25-4-5-15-10-8-25-25-15-2-9-18-0-4-4-19
lzknmaxbxfgdhguxenxihy	11-25-10-13-12-0-23-1-23-5-6-3-7-6-20-23-4-13-23-8-7-24
irivrgckpnfdschftojotoy	8-17-8-21-17-6-2-10-15-13-5-3-18-2-7-5-19-14-9-14-19-14-24
uyocpbfskkdbkosdymxieilp	20-24-14-2-15-1-5-18-10-10-3-1-10-14-18-3-24-12-23-8-4-8-11-15
pqliyvwicfgcphlktijphhajt	15-16-11-8-24-21-22-8-2-5-6-2-15-7-11-10-19-8-9-15-7-7-0-9-19
agexjfswoawwhjdoojomrpvoox	0-6-4-23-9-5-18-22-14-0-22-22-7-9-3-14-14-9-14-12-17-15-21-14-14-23
